nlp_tol,K,cos_median,cos_min,n_below_0.99,n_good,n_flagged,n_samples,gnorm_median,achieved_kkt_median,frac_reached,frac_overshoot,rel_l2_median
1e+00,1,0.999992,-0.994769,2,128,0,128,7.7867e+03,7.651e-01,1.000,0.000,1.7088e-01
1e+00,5,0.999999,0.999809,0,128,0,128,1.2055e+04,7.651e-01,1.000,0.000,1.9174e-01
1e+00,20,0.999991,0.996951,0,128,0,128,1.4526e+04,7.651e-01,1.000,0.000,8.9517e-02
1e+01,1,0.999069,-0.999852,42,128,0,128,7.7867e+03,8.473e+00,1.000,0.000,5.4682e-01
1e+01,5,0.999858,-0.999270,14,128,0,128,1.2055e+04,8.473e+00,1.000,0.000,2.6937e-01
1e+01,20,0.999057,-0.998080,19,128,0,128,1.4526e+04,8.473e+00,1.000,0.000,5.8678e-01
