update,train_loss_mean,grad_norm,min_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_min_margin,eval_n_violations
1,22.937387432448016,1.957489872749389,-2.038209793535025,6.596288766735903e-05,6.688263416290283,8,,,
2,10.480197558762043,0.9594500663252782,-0.5005982050551065,0.0008643719039806985,0.1381361484527588,16,,,
3,3.022676975732333,0.26214469148048375,-1.2895151967444378,-0.1470408966752046,0.06035947799682617,24,,,
4,0.5169213805301786,0.02983310604546992,-2.07020423387701,-1.2895153191070223,0.055966854095458984,32,,,
5,0.0807731042767153,0.006494855953603044,-2.37478107525058,-2.0702042881517273,0.05753374099731445,0,,,
6,24.52617292961834,3.2985550052582973,-2.2040331490723517,3.93895282864154e-05,1.3100483417510986,8,,,
7,9.261622946771748,1.105112347176673,-0.5099769015139588,4.060162956065483e-05,0.1624445915222168,16,,,
8,1.8331408606136954,0.1494607124210592,-1.719222098110972,-0.39344930950270673,0.09094095230102539,24,,,
9,0.2481016541503076,0.016052826586961524,-2.365947292203359,-1.7192221635984204,0.052359819412231445,32,,,
10,0.10933589570083228,0.014564132609187088,-2.5142361288259165,-2.128627685115819,0.05272626876831055,0,29.88150819687076,-2.208679702761051,0
11,23.05352435056653,6.355973544097021,-2.234591225422985,4.468721002914844e-05,1.376471996307373,8,,,
12,6.6161523384560414,1.4036028399842586,-0.889806213022104,1.1845930822484974e-05,0.1223294734954834,16,,,
13,0.9526743540733589,0.10436010024090425,-2.123562031341053,-0.8898055840213168,0.07470345497131348,24,,,
14,0.19561121987850033,0.02367728395991084,-2.5605788508426204,-2.1179525654318865,0.05341053009033203,32,,,
15,0.1500277312177926,0.018212432548934104,-2.597270725290257,-2.129553164818315,0.05369234085083008,0,,,
16,21.1626208204151,3.9304112563749842,-2.075643953864623,0.00029299586640718633,1.2992255687713623,8,,,
17,5.1703050872508465,1.135367316689609,-1.2156815921642816,2.101686278022097e-05,0.06404876708984375,16,,,
18,0.6329988471267431,0.07740026687179342,-2.330045218803897,-1.215681589245135,0.05477285385131836,24,,,
19,0.2094471728620742,0.03178836710236647,-2.641795227800417,-2.1177126341650676,0.056435585021972656,32,,,
20,0.16574352744012896,0.018733349184117468,-2.6477070095458703,-2.1314857303029906,0.07940435409545898,0,21.76299884245144,-2.804694976425959,0
21,20.418358845135224,5.379011273236192,-2.23927049773814,9.941939906032982e-05,1.3417630195617676,8,,,
22,3.085158859004514,0.5673259755152407,-1.695862799051013,-6.2625117143166875e-06,0.07277965545654297,16,,,
23,0.23428272628942035,0.04849373606243052,-2.652216210429158,-1.6958626986082148,0.055495262145996094,24,,,
