update,train_loss_mean,grad_norm,min_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_min_margin,eval_n_violations
1,24.407866868873207,2.8012180013120713,-2.069669725430528,0.00022890429547850477,5.024966239929199,8,,,
2,12.197888361807474,1.1255584279859687,-0.6927230387017935,0.00015313287813223386,0.2390129566192627,16,,,
3,3.8470135283214724,0.4640125487017618,-1.1390612835229805,-0.05064507901217641,0.09665513038635254,24,,,
4,0.7119114023428522,0.04715056845798247,-1.992536498263978,-1.1390631519030112,0.0719306468963623,32,,,
5,0.0995363432814188,0.005827194643792711,-2.3532479286288157,-1.9925366088405072,0.05968785285949707,0,,,
6,22.046048147696656,2.9652704656010513,-2.0237424861356472,0.00011993077936811591,1.2263092994689941,8,,,
7,7.906251035080979,1.4863153367808255,-0.5594784172423604,0.00024073398193391604,0.13246822357177734,16,,,
8,1.5500089974864866,0.1622985328574913,-1.8093479950741647,-0.5594788493340994,0.09862732887268066,24,,,
9,0.2254136269282274,0.01459057024515604,-2.3861801804746405,-1.8093481112241725,0.06295418739318848,32,,,
10,0.10439522151032057,0.013772013796665492,-2.5059433199815495,-2.1298902176768935,0.07855224609375,0,29.33053971882725,-2.2377829321338063,0
11,23.705540786363898,4.9104090454829965,-2.293219922790734,6.79675733026297e-05,1.2858481407165527,8,,,
12,6.402008490396576,1.7653828631229493,-0.9921784752817449,-1.8661121705676464e-06,0.11481857299804688,16,,,
13,0.807437203692929,0.10314265114202219,-2.2354406139258414,-0.9921777043411308,0.07004594802856445,24,,,
14,0.21011507426540368,0.030498020773454464,-2.6330560803915217,-2.1144813389119532,0.05433845520019531,32,,,
15,0.18034568604656273,0.022073109212027358,-2.65437841715161,-2.1264452174076185,0.05632352828979492,0,,,
16,20.866607799937483,7.388859329176315,-2.2390698816491748,4.82440855320565e-06,1.355102777481079,8,,,
17,3.462373403616594,0.8092959193012149,-1.6737866338965492,-0.00024791429244142016,0.10141372680664062,16,,,
18,0.35049702293139007,0.0527155652467672,-2.648406891880087,-1.6737865336180255,0.06257200241088867,24,,,
19,0.32315654660778903,0.052677835091353764,-2.8164677235277846,-2.1066170130404185,0.055266618728637695,32,,,
20,0.24774597842703228,0.025050148645745222,-2.802571548587912,-2.1255641198031974,0.07673501968383789,0,20.81930884773062,-2.8681108727643063,0
21,18.40214171484137,5.2667263882953455,-2.1145124420082544,0.00011483531809186598,1.3251545429229736,8,,,
22,2.1900114574304506,0.5325180528255955,-2.0114847435393846,-3.5796261234288806e-05,0.08987069129943848,16,,,
23,0.2833908171186887,0.0725174196542588,-2.809939659631652,-2.0114846560075352,0.05968832969665527,24,,,
24,0.388635810740497,0.05966269117954397,-2.894602157637621,-2.1037300319614056,0.05968284606933594,32,,,
25,0.26648307662100496,0.024427910281908605,-2.8468789481680377,-2.1263503454939863,0.09078431129455566,0,,,
26,14.120015827491057,5.624061251879495,-1.9693128783651175,2.9516059919521e-06,1.2655408382415771,8,,,
27,0.906777371707161,0.27994245579359955,-2.733271234835718,-0.6963187382542371,0.10175323486328125,16,,,
28,0.7206244994777992,0.15669179381031667,-3.210192463153108,-2.0696803883915753,0.09675192832946777,24,,,
