update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations
1,48.72383103417793,15.344175958368263,-0.6428719690067557,-0.5616100585159851,2.783691087637763e-07,19.869614362716675,10,,,,
2,41.49761631427445,0.8635811573810939,-0.5379145221062855,-0.245353811075943,0.0001349616688682831,0.8659250736236572,20,,,,
3,37.816879016930706,2.0225611960340157,-0.21272659836041363,-0.02244254855439154,7.471830746230701e-05,1.3544421195983887,30,,,,
4,32.902331112695705,22.906099743698565,-0.014410825885554202,1.8317659618349857e-05,2.33271244257649e-05,2.0887436866760254,40,,,,
5,21.3276307469571,11.465625908925759,-5.008913199766596e-06,1.5853376619689996e-05,2.3845817090917265e-05,3.9028656482696533,0,38.88447609461495,-9.814348761238989e-06,9,0
6,28.604425931039273,10.151775575855753,-0.6896270334249048,-0.13974290339097184,4.158620696237403e-05,2.183253765106201,10,,,,
7,11.246842221693354,4.617875349210541,-0.12928186427596566,-6.486416130879746e-06,7.2386240244082245e-06,1.8705947399139404,20,,,,
8,3.3472388174217103,2.249112046418064,-0.585071984386297,-0.17581433246468547,-0.12928186429101207,0.1721940040588379,30,,,,
9,0.9864110457819802,0.7447655998274633,-0.7459765988582598,-0.616390592630456,-0.5850719841155143,0.0974419116973877,40,,,,
10,0.351635439584628,0.26460365573755956,-0.7476906496967517,-0.7189924613196472,-0.6745491515089876,0.10103201866149902,0,39.26055989002054,0.0003278748696304845,5,1
11,27.647950623625604,20.43217314079136,-0.7194678750748185,2.927491874693544e-06,0.0003826119027388053,4.407463550567627,10,,,,
12,4.965188209780877,2.287210680538646,-0.7790101932836051,-0.08877383574567199,-0.03368461557756275,0.29778242111206055,20,,,,
13,0.8562787797182498,0.31393948601754923,-0.8751553936507628,-0.8112475750181212,-0.6329495069094497,0.1352541446685791,30,,,,
14,0.12869562546042843,0.04413602160136468,-0.8369314419818337,-0.7137591220075703,-0.6494913085677101,0.09772396087646484,0,,,,
