cell,umax,obstacles,sweep,sweep_var,tol,admm_max_iter,scp_iter,seed,cos_AD,rel_l2_AD,sign_AD,descent_AD,cos_FD,rel_l2_FD,sign_FD,descent_FD,gnorm,conv_error,num_iter,admm_iters_last,eq_viol,ineq_viol,n_active,n_active_box,n_active_obs,cos_AD_FD_tight,fwd_ms,bwd_ms
C1_loose_off,10000.0,0,tol,0.1,0.1,800,15,0,0.9998200198214763,0.7991741409655938,1.0,1.0,0.9998180169190356,0.7990715704118655,0.8571428571428571,1.0,16.825435733553597,0.08140351587524397,5,1.0,0.31961515779788024,0.0,0.0,0.0,0.0,0.999999993151479,nan,27.961030136793852
C1_loose_off,10000.0,0,tol,0.1,0.1,800,15,1,0.9999683131135622,0.8347126121473659,1.0,1.0,0.999968218013925,0.834585769678242,0.8571428571428571,1.0,25.322192734722734,0.09872461854222381,5,1.0,0.36499366725124827,0.0,0.0,0.0,0.0,0.9999999985440698,nan,27.961030136793852
C1_loose_off,10000.0,0,tol,0.1,0.1,800,15,2,0.9999636059455528,0.8223524411573472,0.8571428571428571,1.0,0.99996361698458,0.8222068403274403,0.7142857142857143,1.0,25.150308224243336,0.09892130283526301,5,1.0,0.34652859293217675,0.0,0.0,0.0,0.0,0.9999999990345168,nan,27.961030136793852
C1_loose_off,10000.0,0,tol,0.1,0.1,800,15,3,0.9980399612940268,0.7829572101584781,1.0,1.0,0.9980463283994675,0.7830375174071909,0.7142857142857143,1.0,7.785493144794953,0.08714554161566451,4,1.0,0.28528065570591593,0.0,0.0,0.0,0.0,0.9999999753060549,nan,27.961030136793852
C1_loose_off,10000.0,0,tol,0.01,0.01,800,15,0,0.9999568719341844,0.4120638362167293,1.0,1.0,0.9999559236102912,0.4117634596582903,0.8571428571428571,1.0,49.2520715179201,0.012921859892239096,15,1.0,0.15399318396655118,0.0,0.0,0.0,0.0,0.999999993151479,nan,58.336811140179634
C1_loose_off,10000.0,0,tol,0.01,0.01,800,15,1,0.9999962689649445,0.41998245892691916,1.0,1.0,0.9999962264227904,0.41953734504846796,0.8571428571428571,1.0,88.85668215667847,0.014805796009205952,15,1.0,0.16860353543579712,0.0,0.0,0.0,0.0,0.9999999985440698,nan,58.336811140179634
C1_loose_off,10000.0,0,tol,0.01,0.01,800,15,2,0.9999950930343537,0.4234960571294678,1.0,1.0,0.9999950859577356,0.42302357195182166,0.8571428571428571,1.0,81.615408979262,0.015423222516656176,15,1.0,0.16482586406473881,0.0,0.0,0.0,0.0,0.9999999990345168,nan,58.336811140179634
C1_loose_off,10000.0,0,tol,0.01,0.01,800,15,3,0.999353365602051,0.33156644167279054,1.0,1.0,0.9993572748345678,0.33181050366475084,0.7142857142857143,1.0,23.964012997488805,0.00911915476699049,15,1.0,0.11947079178841104,0.0,0.0,0.0,0.0,0.9999999753060549,nan,58.336811140179634
C1_loose_off,10000.0,0,tol,0.001,0.001,800,15,0,0.9999971583473731,0.09097105244237937,1.0,1.0,0.9999969131892487,0.0905070751229993,0.8571428571428571,1.0,76.1447820937737,0.0020796112575980907,15,1.0,0.03427472971300456,0.0,0.0,0.0,0.0,0.999999993151479,nan,130.66758308559656
C1_loose_off,10000.0,0,tol,0.001,0.001,800,15,1,0.9999998946987444,0.05930663365178821,1.0,1.0,0.9999998860601328,0.05858478699043153,0.8571428571428571,1.0,144.10994734044507,0.0020556486750276104,15,1.0,0.025008362276672327,0.0,0.0,0.0,0.0,0.9999999985440698,nan,130.66758308559656
C1_loose_off,10000.0,0,tol,0.001,0.001,800,15,2,0.9999998288757374,0.06771825497452921,1.0,1.0,0.9999998258473759,0.06695422650753134,0.8571428571428571,1.0,131.9815198016391,0.0021915653989768025,15,1.0,0.027520371912309303,0.0,0.0,0.0,0.0,0.9999999990345168,nan,130.66758308559656
C1_loose_off,10000.0,0,tol,0.001,0.001,800,15,3,0.9998250825850459,0.14058482353951995,1.0,1.0,0.9998271316351536,0.14089505229344376,0.7142857142857143,1.0,30.789143160496813,0.002734070113948356,15,1.0,0.053249137918875755,0.0,0.0,0.0,0.0,0.9999999753060549,nan,130.66758308559656
