update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
1,47.82917525647478,18.073516083156083,-0.6428720772389747,-0.1460891806780782,-1.497103999836824e-05,52.824681997299194,24,,,,,0.0009666889718880078,16,0,1.9616762801462806e-07,7.4589521080361924e-06
2,35.1608972479107,0.5586604555109813,-0.1227018494182317,-3.140734736062356e-06,-3.1466323737738833e-06,64.8756172657013,0,,,,,0.00086838899180397,4,0,1.804135604493805e-05,0.00013248828477287634
3,45.89038541795897,7.795880590153826,-0.6831996547511918,-0.05754365924147331,-8.164520751252624e-06,60.954509019851685,24,,,,,0.0009851851614528506,7,0,8.374455861308335e-06,0.00011527700673723143
4,34.35997690121443,2.3957671106587215,-0.043123239492978804,-5.0378324139011e-06,-5.054541074356322e-06,84.6389582157135,0,,,,,0.0009972848612889162,5,0,1.6661097796168596e-05,1.3552527156068805e-16
5,45.320325239629,17.803930628089017,-0.7134208403320916,-0.03957521016935406,-5.9525424660478166e-06,65.91957306861877,24,,,,,0.0009843767698036743,14,0,2.7886183752041368e-06,1.3552527156068805e-16
6,25.27089416003893,12.42585788452865,-0.026640790312842944,1.0865979041208007e-05,1.4708114267736327e-05,66.05217146873474,0,,,,,0.0009753722218719674,5,0,0.00040503748885682006,1.3552527156068805e-16
7,42.78050798631682,12.475839036265777,-0.5920363055447699,-0.010358629244964446,1.4147932803854069e-05,115.74783658981323,24,,,,,0.0009617229655585202,24,0,2.2606138588337322e-05,0.003580317697237051
8,26.076804573338165,25.28608695926857,-0.0052669707436205915,8.875082744685958e-05,9.072582447744448e-05,65.89602184295654,0,,,,,0.0009190679716941097,5,0,0.00014658411673185157,0.011529240097865096
9,43.75604260116722,32.91175886208046,-0.6993636695829033,1.8654165433007464e-05,0.00013785978180258507,98.37006974220276,24,,,,,0.0009024161912698503,19,0,0.00014356869925839276,0.021828340118456694
10,15.49667960681032,9.232041078044816,-0.18980272377703766,0.00013714558862831794,0.00013647462285937273,18.03732395172119,0,46.73854606852646,0.00011442060025734779,12,1,0.0009677829392407133,4,0,0.0002706173054894401,0.006359924887893375
11,40.6102746650202,44.05813407902243,-0.6858747650118509,0.00020791325898206203,0.0002068959784333746,88.57786130905151,24,,,,,0.08249823682725836,40,2,0.0002102807488736311,0.009272524062719221
12,10.262958717240352,4.496819578577193,-0.46706066953552083,-0.05901488398525423,-0.042027763448753586,12.605236053466797,0,,,,,0.0009333375198801175,3,0,0.00018433090595032509,3.506555952315126e-05
13,38.92343774881737,48.258758604194234,-0.7086162004547472,0.0001781220699488273,0.00017725063493401194,62.52521014213562,24,,,,,0.000887718072879462,21,0,0.0001810816725692013,0.0008142381122407225
14,7.091400709745131,3.116362643569325,-0.6326200212611384,-0.20200230661342178,-0.16611176032285213,12.654805183410645,0,,,,,0.0009831796223055966,3,0,9.877348695619403e-05,1.3552527156068805e-16
15,35.19057731885588,10.65083305374784,-0.6296949464572386,8.378633233285804e-05,8.337641836542176e-05,62.06581735610962,24,,,,,0.000887558304692726,16,0,8.883510806727591e-05,0.0003309992893604796
16,5.192611787687366,2.715018720758453,-0.7238374861747703,-0.40049662453453516,-0.3553287473411453,12.353278636932373,0,,,,,0.0008917961680076081,3,0,7.94567096540355e-05,4.017416218487016e-06
17,34.76836441388102,5.812375185022044,-0.7186609059168656,0.00019025850281040313,0.00018932769190149745,72.11503386497498,24,,,,,0.0009518971584231983,26,0,0.00019312860247526413,0.0011176672207931248
18,4.261535880429709,2.484289728900794,-0.7730001771190245,-0.5223943762209065,-0.4764153580045962,12.719805479049683,0,,,,,0.0008087533306739281,2,0,6.637118271168863e-05,1.3552527156068805e-16
19,35.15995165964582,6.370331095734511,-0.7045280399263225,4.305120704506393e-05,4.284053974279445e-05,63.768996715545654,24,,,,,0.0009951157276454348,17,0,4.621841910860595e-05,0.16871585853062143
