update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations
1,18.388567035857278,0.823894211857614,-0.7019896173037115,-0.6839362581263069,-0.02181789699793879,15.02595043182373,8,,,,
2,17.05139276091465,0.5408405301114215,-0.6705176876188514,-0.4690666487085522,1.0721458413298635e-06,0.5765371322631836,16,,,,
3,13.967669300577796,0.17474292172687883,-0.4293764727320175,-0.1532042250582264,2.280718050007291e-05,1.2274694442749023,24,,,,
4,11.043706506083705,0.39630277592793123,-0.12119515469794573,-0.003471126090341947,2.2019085193614174e-05,2.223163366317749,32,,,,
5,8.522195048090495,0.12324494989719428,-0.03572807162881775,3.5153158601475276e-05,4.0891223388794806e-05,1.0598604679107666,40,54.775093408628194,1.1280565795912523e-05,11,1
6,5.637464602909923,0.14270129901387643,-0.2322886720159889,-0.052159223556163425,-0.03572807162762137,0.11885976791381836,48,,,,
7,3.434896614315221,0.05988699752235348,-0.432216449198944,-0.2612340874659127,-0.2322886730996827,0.0608670711517334,0,,,,
8,18.41073489046248,1.6676238743181955,-0.7252371106297799,-0.4794838025865238,1.5560823797056145e-05,2.720881700515747,8,,,,
9,13.3748898960915,0.3371558280849985,-0.4125234298024698,-0.028786220024721088,6.41193650512406e-05,1.0433762073516846,16,,,,
10,8.430744054740208,0.18835575077863956,-0.12241343984632458,3.107586967132647e-05,3.70026447000793e-05,0.26944947242736816,24,55.324595258674975,2.7227185142586485e-05,12,1
11,5.115788988484412,0.1354065428382055,-0.3782782650669714,-0.1582054530933794,-0.122413439723565,0.13754057884216309,32,,,,
12,3.1464528547468573,0.06830634253273159,-0.47317002964822663,-0.3994229548669821,-0.3782782649038212,0.10168123245239258,40,,,,
13,1.8835554726486414,0.03333353365232987,-0.4772767427908966,-0.47071538613637776,-0.4478274980149253,0.07125973701477051,48,,,,
14,1.0617436225811814,0.014253751799113422,-0.4689900653836607,-0.4639692295708011,-0.4637661282629735,0.06206965446472168,0,,,,
15,17.978756605556534,0.8223882599652759,-0.6931743096844769,-0.5079113462895364,9.408715090031272e-06,1.6706693172454834,8,61.91923408238034,2.1367828785257004e-05,32,3
16,14.251658601598058,0.1743642096792858,-0.4552276201918599,-0.11025706309508232,6.770444729231606e-05,1.299673080444336,16,,,,
17,11.459983816847485,0.13025835209718717,-0.07875088756775384,-7.318506357378851e-05,8.468909704351102e-05,1.6108806133270264,24,,,,
18,9.83808826180959,0.007009302336424257,-0.0006501998440933132,8.480660268372908e-06,7.811833146664782e-05,3.5063674449920654,32,,,,
19,7.40112392163089,0.09232180073797956,-0.0011231765794430526,1.4916272353504567e-05,2.179098279153635e-05,1.9753098487854004,40,,,,
20,4.508719850139112,0.11674290686700466,-0.011957531048135905,-0.0020757044189807505,9.798971112306987e-08,0.1308450698852539,48,77.79489631609458,6.355460062590357e-05,33,8
21,2.310680605498865,0.04032969974550018,-0.03566732839364706,-0.01354239328618112,-0.011957531074679117,0.10270452499389648,0,,,,
22,17.326632403786483,0.28216864771763545,-0.631377955347066,-0.49776189690043293,0.0001543642469130635,0.6090338230133057,8,,,,
23,14.453726174629159,0.19508184760951328,-0.4558970295452194,-0.14303146976051795,3.8863740910222155e-05,0.6218509674072266,16,,,,
24,11.959973721996278,0.012279899240644909,-0.10921847831357478,-0.002655091891097916,4.6010085780312515e-05,0.3211629390716553,24,,,,
25,11.554948946356633,0.0018104510840719792,-0.0006992901327107504,1.9549733569212968e-05,3.842755638927553e-05,0.454146146774292,32,79.94893258382041,1.2040054106821074e-05,34,15
26,11.484987722164487,0.0077300237805448474,-9.117034983119332e-05,-8.102250139696565e-07,2.9097460774729633e-05,0.4248521327972412,40,,,,
27,11.307481997775398,0.03270247970875309,-1.2492331082913921e-06,-2.149292943620651e-07,1.8017156384941835e-05,0.5235633850097656,48,,,,
28,10.960791026048945,0.08115624173662567,-4.5701301365497216e-07,2.6106800632419436e-06,1.4734376136860128e-05,0.5869808197021484,0,,,,
29,17.78685738087576,0.16660142316583834,-0.6889254088592272,-0.5070983803057405,0.0002143882107608075,0.696599006652832,8,,,,
30,14.20158434637013,0.15986788213750924,-0.4543419343379036,-0.09944671686023954,0.0001724083688725564,0.5045030117034912,16,79.62854998539315,1.5188743321958853e-05,34,16
31,11.605772609851298,0.008023422424475634,-0.06827107089397089,8.31547758561868e-06,4.761655888352312e-05,0.49029016494750977,24,,,,
32,11.215493026422207,0.041135595960299164,-0.0006609204150951342,-5.8131802440630764e-06,4.42782405040143e-05,0.5561859607696533,32,,,,
33,10.960133835199416,0.07085267089903277,-2.5987164202767588e-06,2.0037576506370947e-05,4.5194315345997715e-05,0.6738440990447998,40,,,,
34,10.508509369724393,0.07740660523693911,-1.242539779378049e-05,6.24588625008915e-06,7.600197806501008e-05,0.7753374576568604,48,,,,
35,9.633844621796513,0.03624286232816866,-2.473481745446371e-05,8.450984071095569e-06,5.851816023449974e-05,3.607210159301758,0,76.0097477848418,4.470578341997378e-05,35,11
36,17.669733613732767,0.3990779095572616,-0.6665619642467111,-0.4832723502773628,0.00014935533559012892,0.7908992767333984,8,,,,
37,13.746818631373984,0.35164357533675156,-0.42726773957712894,-0.06751932943619376,0.0001716344252551405,2.082181930541992,16,,,,
38,10.711417552676657,0.08778549614229718,-0.04164827679045935,6.862720549505319e-06,4.163868407303095e-05,1.9787840843200684,24,,,,
39,9.057337753908454,0.05973369371070559,-0.0015593440927286206,-0.00021987328868644518,2.3797155877858245e-05,5.642174959182739,32,,,,
40,6.5281626905083545,0.07742015761638454,-0.018793414063266622,-3.6858137404394142e-06,2.374918294556494e-05,1.6702861785888672,40,68.8348530366864,3.505174459450533e-05,34,7
41,3.3010062623399854,0.018699731058205694,-0.21275386373945127,-0.031446979748021464,-0.018793404695941707,0.1418895721435547,48,,,,
42,1.033403414119376,0.014938747515894493,-0.45124621832514555,-0.24585305032226823,-0.21275384653767881,0.09644937515258789,0,,,,
43,17.75213245217241,0.1705163566505588,-0.6847806225531312,-0.5016678010721654,4.124281959305698e-05,1.2830491065979004,8,,,,
44,14.089233920762712,0.11324937628371451,-0.4475250156092263,-0.0825715169395651,4.543344216312306e-05,2.430382013320923,16,,,,
45,11.219413045973488,0.13105722733036385,-0.05290262049807648,2.0976794105065366e-06,3.2237313018157465e-05,1.633589267730713,24,65.01213534873507,1.1060975574128662e-05,30,2
46,9.526506558009917,0.06986242827491602,-0.0019301122182269204,-0.0001527586294065575,3.0488291464680906e-05,3.4335150718688965,32,,,,
47,6.868713794941687,0.04236480968892203,-0.01943065608717731,3.3186722359079823e-07,7.667827322643817e-06,1.7909679412841797,40,,,,
48,3.543454922579068,0.026031768369824317,-0.2145232506489707,-0.032150383405372684,-0.019430649487383045,0.12565302848815918,48,,,,
49,1.1706260922971234,0.015955868353581742,-0.4582345109628456,-0.2481384306365093,-0.21452324847104198,0.08708000183105469,0,,,,
