update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv
1,47.82917016968028,18.199457329453526,-0.6428720729595176,-0.1460889981179181,-1.496962521607692e-05,57.58772039413452,24,,,,,0.0008698507580854886,14,0
2,35.16088500840234,0.5650401849189791,-0.1227016747808134,-3.1419377015673433e-06,-3.1478331770085077e-06,65.02748274803162,0,,,,,0.0008681527394578392,4,0
3,45.8903953282443,7.8598849614261015,-0.6831996835494392,-0.05754395206734131,-8.171485458952077e-06,57.089208126068115,24,,,,,0.0009869287820468697,5,0
4,34.36020656595108,2.4287759019664525,-0.04312351384652224,-5.044348190708092e-06,-5.061050144972157e-06,84.48125147819519,0,,,,,0.0009959297773602938,5,0
5,45.32015324277479,18.023955103841935,-0.7134208382187528,-0.03957093431699232,-5.931919820234555e-06,74.48871111869812,24,,,,,0.0009815075354673297,7,0
6,25.27150282164662,12.556730077147357,-0.02663798818324814,1.081081467046996e-05,1.4611292337929349e-05,74.87116289138794,0,,,,,0.0009735254200099464,5,0
7,42.78019077133355,12.708501653223898,-0.592036452998953,-0.010355616886318586,1.4061565458578507e-05,128.5192151069641,24,,,,,0.0009521198377395734,10,0
8,26.077003782053975,26.463872763483863,-0.005265253376339762,8.871325499681948e-05,9.070189697302222e-05,65.82126688957214,0,,,,,0.0009204855838182979,5,0
9,43.75613434405725,34.08616277597909,-0.6993636482689949,1.791130900041793e-05,0.00013792666404477405,98.35751628875732,24,,,,,0.0008976283377641892,19,0
10,15.501191240506204,9.337547372511093,-0.18969407990168174,0.00013695708355232483,0.0001362870399581606,18.695778131484985,0,46.753323292529636,0.00011669158998595108,12,1,0.0008901977509567479,4,0
11,40.61838629040528,49.42444065994063,-0.6858735093948864,0.00021400320892939195,0.00021295623121386775,155.01015543937683,24,,,,,0.018433867873104637,40,1
12,10.281654918166652,4.558695287855704,-0.4668573573863928,-0.059063926722416005,-0.04206216720400624,14.44455885887146,0,,,,,0.0009360713820611433,3,0
13,38.96038654550043,54.866594149445106,-0.7086199496428123,0.00018121976518081784,0.0001803331752271431,97.78540635108948,24,,,,,0.0009237953939770088,21,0
14,7.111579672306992,3.146616007142895,-0.6309862922748093,-0.19683326584989125,-0.1612329930015597,14.501036882400513,0,,,,,0.0009849988768602103,3,0
15,35.20991456762266,14.12805794441357,-0.6296972500844109,8.453748216796786e-05,8.41238934152777e-05,94.82462310791016,24,,,,,0.0008766007334317094,17,0
16,5.240987880790797,2.7673883784299096,-0.7245131812531544,-0.39920426118198304,-0.3540137589993493,14.045043706893921,0,,,,,0.0008815728771741638,3,0
17,34.77875827288343,5.80841129665104,-0.7186406992397041,0.00018624483089124677,0.00018533365615169828,86.45241165161133,24,,,,,0.0009459060626421656,20,0
18,4.326748583803058,2.5623912821466726,-0.7765905934944253,-0.5253487790448705,-0.4791806137668213,11.925178289413452,0,,,,,0.000806103481263365,2,0
19,35.17228347799946,6.240650566478415,-0.7045386021821358,4.33951318877801e-05,4.318278430737177e-05,80.51176238059998,24,,,,,0.00099982420108502,23,0
20,3.914204980536028,2.5037028839733684,-0.8198800869916774,-0.6273173745638365,-0.5826389217852859,12.327940940856934,0,36.214667002863784,9.83854172019738e-05,7,1,0.0008764535690000685,2,0
21,32.40034429278161,25.957941067572065,-0.6597658480124866,4.6625906553354746e-05,4.639778612702816e-05,93.62661862373352,24,,,,,0.006592609797225868,24,1
22,3.0197221901171183,1.9183587981047883,-0.8352920947942275,-0.6990697117463271,-0.6597658480443223,12.425998210906982,0,,,,,0.0009406886773583034,2,0
23,33.13518640954725,5.173008769819989,-0.6306852614295926,1.0479581667333093e-05,1.0420111082543038e-05,99.17798519134521,24,,,,,0.0009792813218287288,25,0
24,2.648864468822708,1.5519999878998547,-0.8121159028111262,-0.6699967118746804,-0.6306852614475873,12.482364416122437,0,,,,,0.00067553220789629,2,0
25,33.636588314404875,8.649789655991853,-0.6867107572201714,8.511740973016213e-05,8.463510028489107e-05,85.71994209289551,24,,,,,0.0009778549903428635,22,0
26,1.9882415348852605,1.0334216871820328,-0.7837914672614614,-0.6511911155462431,-0.6139672465584083,11.970814943313599,0,,,,,0.0008519904779259457,2,0
27,34.25563880592854,9.710556821909195,-0.7383902815359866,5.110575136368922e-05,5.074990850106875e-05,96.89698314666748,24,,,,,0.0009730548874351541,29,0
28,1.6860968249096597,0.7421258221341749,-0.7711472911177482,-0.6400476294878008,-0.6034472578771231,12.591791868209839,0,,,,,0.0007593025207995874,2,0
29,33.16033105184978,21.12747025761899,-0.6385558739941162,5.9044549121423096e-05,0.00010981347690497412,76.62461042404175,24,,,,,0.0009238289953681367,27,0
30,1.2787555809325994,0.43638431346275053,-0.7549900595994661,-0.6133218010679236,-0.5760858403099127,11.950744390487671,0,34.10717570406995,4.942595629331414e-06,7,1,0.0006401679158025697,2,0
31,33.7790766433855,3.5501455456834563,-0.6750386898948091,-2.22895943813306e-06,-9.54463553748397e-07,81.70272159576416,24,,,,,0.02652459142602691,25,1
32,1.102197517936102,0.2778454384445805,-0.7430730397700331,-0.5907947741694988,-0.5530621169910874,12.334167242050171,0,,,,,0.0005743763311604755,2,0
33,32.621558349348476,3.4153083538413074,-0.6576575182990387,3.411514256423942e-05,3.3865507853447774e-05,85.46182250976562,24,,,,,0.0009760141209670392,31,0
34,0.9509396262713976,0.1454967492375454,-0.7346387609304592,-0.5571390256911031,-0.5170618899460211,12.322643280029297,0,,,,,0.0006487566199381289,1,0
35,32.132814326097,2.951204100020351,-0.6177964925513724,-4.137950018190395e-06,1.3698189760269486e-07,92.95398545265198,24,,,,,0.0009062331272070012,30,0
36,0.7961857205138048,0.07582658065945791,-0.7327172200795282,-0.5513791164797994,-0.51064003550033,12.388561487197876,0,,,,,0.0009549146115409579,1,0
37,33.90570971655598,5.5654213929311025,-0.6761514356946385,-3.011243842721001e-06,6.3789536018932225e-06,73.57191443443298,24,,,,,0.0009685161693554489,23,0
38,0.7472207251244565,0.04988923447775887,-0.7267496332184724,-0.5238120764797889,-0.48097085847699006,13.07648229598999,0,,,,,0.000553033984930909,2,0
39,33.30517809652779,5.802414409874217,-0.7304440292279044,-4.260168699588007e-06,-3.401708505768042e-06,69.13632726669312,24,,,,,0.0009724779124162808,24,0
40,0.5795961289497062,0.027302333116554698,-0.7318698352088933,-0.5550093625867873,-0.5133843044498514,12.697316408157349,0,33.46944437225298,-5.601046115799591e-07,8,0,0.0005032889383246725,2,0
41,32.372594413574944,6.198903441804817,-0.6614894612334661,7.337869930568175e-07,6.906639309356422e-07,363.5563852787018,24,,,,,0.05859962772792187,47,1
42,0.579918186442168,0.07224616813646509,-0.7265100543274954,-0.5218085850737215,-0.4771774361535819,12.523087978363037,0,,,,,0.0007767066734022526,2,0
43,33.159380448028564,5.121812349803041,-0.7268372209317469,1.1351092110700733e-06,6.192911451319283e-06,89.12930369377136,24,,,,,0.0008646177757826168,33,0
44,0.4973888864545263,0.04800997217980118,-0.7281513602577223,-0.5381310303696689,-0.49439202459651743,12.658884048461914,0,,,,,0.0009031883330950508,2,0
45,32.76838131611265,3.7561502240465092,-0.6775728149290374,0.00013125596170115994,0.00013038903276951785,79.15834522247314,24,,,,,0.0009233855191135565,35,0
46,0.46018851441795566,0.04809491061502689,-0.7235058611825045,-0.5277422641294243,-0.48344669669015716,12.672919750213623,0,,,,,0.0008628847242699578,2,0
47,31.92026322480861,7.684757867418194,-0.5812416789749748,0.00024636115514486967,0.00024515586990936367,113.06162452697754,24,,,,,0.000991738954966792,40,0
48,0.47851152422703563,0.05121229308937686,-0.7198083389946137,-0.506109015298196,-0.4602636236998914,12.446954488754272,0,,,,,0.0007063763333140238,2,0
49,31.853423825663842,3.0365536735703884,-0.5794702799594011,0.00022564359505550247,0.00022453966779034662,115.30845499038696,24,,,,,0.0009449577475849624,37,0
50,0.46021177141878594,0.055278057009852936,-0.7184087703809205,-0.5101790188391253,-0.46486976029843086,12.502100944519043,0,32.94200786036189,0.0001907111648525861,9,1,0.0006598781882279081,2,0
51,32.283428420412775,3.4980338932703448,-0.6385051522769354,0.00022673007002049772,0.00022562082751897972,585.5226294994354,24,,,,,0.546751315894246,60,3
52,0.4205279451786648,0.052466802698733925,-0.7182032751887273,-0.5262834693860836,-0.48248148472351815,12.513177633285522,0,,,,,0.0007861206500724138,2,0
53,33.49443649171001,4.084146011204019,-0.7296395641929259,0.00017729550675238404,0.00017642754443114583,285.874853849411,24,,,,,0.0009566434280376401,60,0
54,0.38679973235502074,0.057504226740774114,-0.7201777536703624,-0.5528207577343358,-0.5113410960099263,12.859405517578125,0,,,,,0.0006625645620870063,2,0
55,31.269931941234546,3.503373583738649,-0.5748713982243865,0.00018569190871720043,0.00018478198574900517,377.10627698898315,24,,,,,0.0009716553117162241,45,0
56,0.4281494987306948,0.0533970888602497,-0.7137715900939618,-0.5135350105770988,-0.46922261167384605,12.662938833236694,0,,,,,0.0008899035697200186,2,0
