update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv
1,47.82917016968011,18.19890103870857,-0.6428720729595176,-0.14608899811790454,-1.4969625213856474e-05,56.6969735622406,24,,,,,0.0008698507587677207,14,0
2,35.16088500393762,0.564925234006396,-0.12270167478080074,-3.1419373394125927e-06,-3.1478328252898535e-06,64.10352206230164,0,,,,,0.0008681528599092658,4,0
3,45.89039570109541,7.860153849607593,-0.6831996835884204,-0.05754397236933784,-8.171620210495334e-06,56.5684175491333,24,,,,,0.0009869248448088896,5,0
4,34.360208102477024,2.4288578926380415,-0.04312353149893955,-5.04457381955703e-06,-5.0612753303980185e-06,83.9292483329773,0,,,,,0.0009959148421936348,5,0
5,45.32015632594139,18.02207703124753,-0.7134208394621417,-0.03957105300183028,-5.93179700780766e-06,65.00553703308105,24,,,,,0.000981527729977394,7,0
6,25.271584121281872,12.557509319361335,-0.026638109268079635,1.0815060615509964e-05,1.461560032511855e-05,65.406179189682,0,,,,,0.000973616544038769,5,0
7,42.78018781546767,12.707336799353815,-0.5920364534073155,-0.010355588669567428,1.4059970400714938e-05,111.9907956123352,24,,,,,0.0009521304672617248,10,0
8,26.07703219286579,26.48831953084368,-0.005265239821923284,8.871326823733927e-05,9.070190422333368e-05,65.08105731010437,0,,,,,0.0009205032175802486,5,0
9,43.75682051484626,34.517106558918,-0.6993636214606629,1.732718241675979e-05,0.00013802496801096353,94.47307014465332,24,,,,,0.003236143278684267,15,3
10,15.502964782067835,9.339108710808684,-0.1896427287922029,0.00013726695633753394,0.0001365953967378264,18.450810432434082,0,46.76405098111845,0.00011874903716369012,12,1,0.0008903273747711648,4,0
11,40.79280142078237,62.27869558181771,-0.6857719033285565,5.662583790555509e-05,5.634880155036548e-05,57.724365234375,24,,,,,0.4564520252065165,15,5
12,10.407418815271264,4.627371357608926,-0.4581814825032682,-0.04916060262447619,-0.03401554129152995,12.06415581703186,0,,,,,0.0009544886645396766,3,0
13,39.076463136844325,56.30369844901847,-0.7086269459500518,0.0001449041476445645,0.00014419522572384214,58.56719470024109,24,,,,,0.02326841208501755,15,3
14,7.14825735770424,3.1176023583765744,-0.6265580867255036,-0.1827375098447903,-0.14785910843521743,12.547077655792236,0,,,,,0.0007510404653818248,3,0
15,35.25596650294212,7.852465736936634,-0.62971994248051,8.569276609393661e-05,8.527352543219457e-05,53.85570192337036,24,,,,,0.001178292765263933,15,1
16,5.339179285184443,2.787922918836137,-0.7238731389522062,-0.39502490207016017,-0.34986253058434325,12.014617204666138,0,,,,,0.0008584092929745935,3,0
17,34.85041154570377,41.05258480826398,-0.7186246010596076,0.00013295213820785357,0.0001322220414418096,69.83681726455688,24,,,,,0.007386051156215101,15,1
18,4.487605285565201,2.6037483093502343,-0.772999306609,-0.5158078858492983,-0.46951630447380244,12.072601079940796,0,,,,,0.0008224561693270238,2,0
19,35.47230180024304,7.7153881718968025,-0.7051630818667878,0.00022667160306899525,0.00022556264609319143,61.40494203567505,24,,,,,0.06048894208921851,15,2
20,4.084638159729422,2.412356120780886,-0.7631687249641199,-0.5123665477080805,-0.4666968155050164,12.01300835609436,0,37.17621709574373,0.00014673371692153214,7,1,0.0008656720235057924,2,0
21,32.86804853483787,60.02121316029604,-0.6228812680818687,9.804008411562481e-05,9.731781299315845e-05,67.3113386631012,24,,,,,0.07350986782028457,15,5
22,3.4980485386890843,2.076755301341491,-0.7636853981237921,-0.5617736845507715,-0.5200434861486993,12.227733612060547,0,,,,,0.0008881679689416444,2,0
23,33.838702228447495,14.887437496270207,-0.6224101232533725,0.00015231304284990532,0.0001515678741215165,69.44500494003296,24,,,,,0.09287068261372511,15,2
24,3.5738242915754683,2.0074822408893156,-0.7429810441461195,-0.53828217290307,-0.49771806466190993,12.613026142120361,0,,,,,0.0007659465554072376,2,0
25,34.35334995518496,10.039783993301128,-0.6869680696752813,0.0001249411224483188,0.00012432986600419138,67.31004810333252,24,,,,,0.036792236342797234,15,2
26,3.0275242563208935,1.561040207208963,-0.7144317342183504,-0.5165745708686351,-0.4779187564324603,12.36968183517456,0,,,,,0.0008394145185754431,2,0
27,35.33564125441254,9.988459395654138,-0.7360904541053996,0.0002471319174763842,0.00024592286243330097,67.37636113166809,24,,,,,0.044269466730160564,15,2
28,2.8902083346415117,1.323523089596922,-0.6981121199424829,-0.48571329719763234,-0.44686846272823866,12.143233299255371,0,,,,,0.0008873483524511894,2,0
