update,train_loss_mean,grad_norm,min_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_min_margin,eval_n_violations
1,26.59224088743232,10.388654112016928,-2.038209793535025,6.59628879440266e-05,15.8175528049469,10,,,
2,6.554426648313324,2.260456406473335,-0.7100289841859229,0.0002519794414224119,0.15208864212036133,20,,,
3,0.9545527259494403,0.300741559057494,-1.9223079728622987,-0.7100322506664862,0.12475013732910156,30,,,
4,0.17256218742240423,0.11187903420835028,-2.3742194934586953,-1.9223080204751928,0.09404349327087402,0,,,
5,26.614469180342468,9.336647294499375,-2.2040331490723517,6.645258377935281e-05,1.269012451171875,10,,,
6,5.573570630843114,1.8217370581260477,-0.8763818483718544,0.0001485676965967686,0.16707253456115723,20,,,
7,0.70599945125675,0.36036339721995336,-2.1197786887898737,-0.8763827659371388,0.1189420223236084,30,,,
8,0.19988304167096116,0.1284765170487168,-2.47313480066413,-2.1197787654356173,0.09288287162780762,0,,,
9,21.827696009013565,8.570906545767285,-2.234591225422985,5.8218719338976044e-05,1.4082367420196533,10,,,
10,3.670190711639272,1.4218184501552604,-1.3707093457888258,9.455316950779391e-05,0.16826796531677246,20,30.15231912592934,-2.1925311485671948,0
11,0.5575271239258758,0.3895093611857017,-2.387268141335457,-1.3707093668593808,0.0971682071685791,30,,,
12,0.23157173012250298,0.11298500933535169,-2.550400575052611,-2.1260571091899614,0.08839559555053711,0,,,
13,19.16721316034585,7.885790649132434,-2.075643953864623,0.0004336429975623224,1.383631944656372,10,,,
14,3.002918777467229,1.321292513847496,-1.6037890210867634,-4.898349092985477e-05,0.12634062767028809,20,,,
15,0.5350757860971515,0.3755894013346352,-2.479898760955839,-1.6037890235527419,0.10819745063781738,30,,,
16,0.2291912576840721,0.09845022573965002,-2.5764083176699004,-2.127660511558582,0.09700250625610352,0,,,
17,15.912553681597718,5.3291439560278935,-2.23927049773814,0.00013295424691339708,1.2976300716400146,10,,,
18,1.7029074587765685,0.9127484124895311,-2.0181661319598807,-0.00014342530683242316,0.13268828392028809,20,,,
19,0.5199604589755321,0.4021158658997956,-2.6850075051462787,-2.018166088068362,0.09727001190185547,30,,,
20,0.26496419339009836,0.0845980594437364,-2.7020970750064714,-2.126704465265399,0.09894752502441406,0,23.876419246369373,-2.64729651839147,0
21,11.37657664222671,4.2847877523777615,-2.0822316020666336,3.768761835720724e-06,1.320380449295044,10,,,
22,1.3358773391918994,1.0380818795799291,-2.4115510259740947,-0.42886411440446204,0.14262866973876953,20,,,
23,0.6426389945345655,0.39909611791704863,-2.7940063671536146,-2.108319371109201,0.1475818157196045,30,,,
24,0.25349595358469756,0.06278530940366954,-2.7861042857946745,-2.1297505800939907,0.145216703414917,0,,,
25,10.46604549057591,32.69154304054908,-2.14282204891979,3.437655538118811e-06,1.3116986751556396,10,,,
26,0.9433704315036808,0.8974700959535771,-2.5021045206671686,-0.5044541724336182,0.12187385559082031,20,,,
27,0.5860440021439447,0.3423095357429363,-2.8171887880869138,-2.1115710581359854,0.11917638778686523,30,,,
28,0.23235858757266073,0.05091988248959944,-2.7958561365468526,-2.1291060340079926,0.10011577606201172,0,,,
29,9.350795585329475,3.472265580802673,-2.2187380629236997,6.680342339304701e-06,1.3055517673492432,10,,,
30,1.475167877472297,1.5170283511583107,-2.9486967575576246,-1.0470364136693875,0.13920807838439941,20,18.3504921844065,-3.0296754185034924,0
31,1.05213374163725,0.5307005472349687,-3.1000339159646364,-2.093168214789635,0.14443302154541016,30,,,
32,0.3369321453785024,0.06324502119801864,-2.9960561588682193,-2.1181089309878027,0.1230318546295166,0,,,
33,7.400834357549886,3.110313321572152,-2.243803925070697,8.062469012082296e-06,1.3405122756958008,10,,,
34,2.0119850656019285,1.9613482980442867,-3.2461086848107943,-1.6224013672577287,0.14364981651306152,20,,,
35,1.3590925145993689,0.6308759639380018,-3.3089862935739998,-2.079681180919113,0.1543288230895996,30,,,
36,0.38497823541909365,0.0641950499781385,-3.106351130198723,-2.1102799993677084,0.14536142349243164,0,,,
37,6.9766951906310055,2.6504009555161017,-2.355419461250866,1.801956067803978e-06,1.260056734085083,10,,,
38,2.332268924632932,2.2660529068912916,-3.4057917584835735,-1.78302351203024,0.13901019096374512,20,,,
39,1.639018314405397,0.7583990980595147,-3.4537030634842782,-2.0675095987994183,0.12030339241027832,30,,,
40,0.4554744082016191,0.07390212644620636,-3.205375515545575,-2.1050174239147004,0.13268613815307617,0,15.052563218903726,-3.6505198048540892,1
41,5.341942183055819,2.811432982870403,-2.252503842280594,3.1242547805510057e-06,1.2618796825408936,10,,,
42,2.704801547932667,2.3884175017675284,-3.5320275694398875,-2.0564019279090915,0.11012864112854004,20,,,
43,1.6283407702883712,0.6784595461820527,-3.5419646532105116,-2.0673849831961566,0.10987162590026855,30,,,
44,0.40245845973553673,0.05869998030229139,-3.1948127794310617,-2.1013007917093307,0.15058374404907227,0,,,
45,5.351934436564011,2.484752082002151,-2.3469784485039304,2.0496175584971965e-05,1.4123480319976807,10,,,
46,2.7672276298218073,2.421879260561102,-3.5693696416090868,-2.0581636384908255,0.0968942642211914,20,,,
47,1.59614851237155,0.6356744024933694,-3.573668751820569,-2.070451508933378,0.12358975410461426,30,,,
48,0.3701107489285945,0.051204216936875414,-3.1828190060329007,-2.099800856116593,0.1524970531463623,0,,,
49,5.2300007827426,2.254265573729438,-2.371653308944934,1.4358916896606289e-06,1.3266425132751465,10,,,
50,2.3231910979305437,1.9274248772196922,-3.4998316675969248,-2.0756755439850707,0.14009451866149902,20,13.919514680535912,-3.5075981802190253,1
51,1.2688146015104544,0.4406399959056407,-3.496539130073642,-2.0887907641196515,0.12238121032714844,30,,,
52,0.2620110699275961,0.032980118781631144,-3.065430149778205,-2.1016425285266855,0.09540700912475586,0,,,
53,5.31800851445758,2.2836183916751627,-2.521575389537024,3.726680682825112e-06,1.3949267864227295,10,,,
54,2.703610034526415,2.18076956343398,-3.6191390361895275,-2.068233429158682,0.1518383026123047,20,,,
55,1.4248048139106317,0.49388430192660715,-3.6102006009096588,-2.0843075482452225,0.14405131340026855,30,,,
56,0.27752026244595157,0.03515030364157197,-3.1153260189350425,-2.0968718638490333,0.14314961433410645,0,,,
57,4.751896781116435,3.0839364029646905,-2.3954385180694264,1.677505456987305e-06,1.3283789157867432,10,,,
58,1.8172711855024186,1.4217634513422472,-3.403706096489202,-2.1013724806644163,0.14592623710632324,20,,,
59,0.8672971441510189,0.25592570841970813,-3.3869706796487087,-2.1037695670142016,0.12961030006408691,30,,,
60,0.1354443248585544,0.016371242327538314,-2.8906752202470565,-2.1060309916285576,0.09067606925964355,0,13.764362868469133,-4.063579796783324,1
61,4.905980550064239,4.6473240702658005,-3.520596860006199,5.9743482031526796e-06,1.462097406387329,10,,,
62,6.606341352697751,5.692116912077647,-4.349042407378583,-1.9826790108326344,0.14976763725280762,20,,,
63,3.213837260183375,1.319743436236344,-4.30131190002507,-2.014001547496413,0.14805841445922852,30,,,
